,Date,City,Raw Number of Posts,Residual After Controlling for Time,Good Sunset
Los_Angeles2015-11-01,2015-11-01,Los_Angeles,365,-0.5107030775772108,0.0
Los_Angeles2015-11-02,2015-11-02,Los_Angeles,625,0.4523763388675568,1.0
Los_Angeles2015-11-03,2015-11-03,Los_Angeles,610,0.4930561177835946,1.0
Los_Angeles2015-11-04,2015-11-04,Los_Angeles,505,0.23602293714068745,0.0
Los_Angeles2015-11-05,2015-11-05,Los_Angeles,376,-0.026923240153921557,0.0
Los_Angeles2015-11-06,2015-11-06,Los_Angeles,391,-0.08362969111648466,0.0
Los_Angeles2015-11-07,2015-11-07,Los_Angeles,45,-0.8295262280920167,0.0
Los_Angeles2015-11-08,2015-11-08,Los_Angeles,623,0.18667133909539735,0.0
Los_Angeles2015-11-09,2015-11-09,Los_Angeles,330,-0.18596569239174865,0.0
Los_Angeles2015-11-10,2015-11-10,Los_Angeles,333,-0.1057311005985001,0.0
Los_Angeles2015-11-11,2015-11-11,Los_Angeles,360,-0.07072180408245565,0.0
Los_Angeles2015-11-12,2015-11-12,Los_Angeles,385,0.007143898871248222,0.0
Los_Angeles2015-11-13,2015-11-13,Los_Angeles,318,-0.23159992621471281,0.0
Los_Angeles2015-11-14,2015-11-14,Los_Angeles,451,0.08325542285203369,0.0
Los_Angeles2015-11-16,2015-11-16,Los_Angeles,316,-0.20444477981039577,0.0
Los_Angeles2015-11-17,2015-11-17,Los_Angeles,347,-0.0626009924052332,0.0
Los_Angeles2015-11-18,2015-11-18,Los_Angeles,395,0.018503025782285354,0.0
Los_Angeles2015-11-19,2015-11-19,Los_Angeles,348,-0.06356063161946057,0.0
Los_Angeles2015-11-20,2015-11-20,Los_Angeles,462,0.09821686302200394,0.0
Los_Angeles2015-11-21,2015-11-21,Los_Angeles,507,0.21759590081399005,0.0
Los_Angeles2015-11-22,2015-11-22,Los_Angeles,595,0.14746815054411821,0.0
Los_Angeles2015-11-23,2015-11-23,Los_Angeles,435,0.06850280853012758,0.0
Los_Angeles2015-11-24,2015-11-24,Los_Angeles,346,-0.05599074377508784,0.0
Los_Angeles2015-11-25,2015-11-25,Los_Angeles,308,-0.16595707985830366,0.0
Los_Angeles2015-11-26,2015-11-26,Los_Angeles,325,-0.1068085174738993,0.0
Los_Angeles2015-11-27,2015-11-27,Los_Angeles,396,-0.04085568162609243,0.0
Los_Angeles2015-11-28,2015-11-28,Los_Angeles,697,0.6451441602840606,1.0
Los_Angeles2015-11-29,2015-11-29,Los_Angeles,509,-0.03701554195764012,0.0
Los_Angeles2015-11-30,2015-11-30,Los_Angeles,431,0.06508716391211555,0.0
Los_Angeles2015-12-01,2015-12-01,Los_Angeles,344,-0.05556125368191567,0.0
Los_Angeles2015-12-02,2015-12-02,Los_Angeles,452,0.15735562796258296,0.0
Los_Angeles2015-12-03,2015-12-03,Los_Angeles,423,0.11396503721700924,0.0
Los_Angeles2015-12-04,2015-12-04,Los_Angeles,364,-0.10865845407328556,0.0
Los_Angeles2015-12-05,2015-12-05,Los_Angeles,467,0.13808015607107227,0.0
Los_Angeles2015-12-06,2015-12-06,Los_Angeles,525,0.0002736955184401424,0.0
Los_Angeles2015-12-07,2015-12-07,Los_Angeles,893,1.0897780892588629,1.0
Los_Angeles2015-12-08,2015-12-08,Los_Angeles,812,0.9817751882683419,1.0
Los_Angeles2015-12-09,2015-12-09,Los_Angeles,548,0.36997328620549297,1.0
Los_Angeles2015-12-10,2015-12-10,Los_Angeles,313,-0.13035865038757588,0.0
Los_Angeles2015-12-11,2015-12-11,Los_Angeles,422,0.01857973263460977,0.0
Los_Angeles2015-12-12,2015-12-12,Los_Angeles,391,-0.032169999125005955,0.0
Los_Angeles2015-12-13,2015-12-13,Los_Angeles,266,-0.5759646647613957,0.0
Los_Angeles2015-12-14,2015-12-14,Los_Angeles,247,-0.3443574805498051,0.0
Los_Angeles2015-12-15,2015-12-15,Los_Angeles,289,-0.18047889069799583,0.0
Los_Angeles2015-12-16,2015-12-16,Los_Angeles,124,-0.5735627656622542,0.0
Los_Angeles2015-12-17,2015-12-17,Los_Angeles,216,-0.35005158709151185,0.0
Los_Angeles2015-12-18,2015-12-18,Los_Angeles,187,-0.5074035261458059,0.0
Los_Angeles2015-12-25,2015-12-25,Los_Angeles,291,-0.28604156969194783,0.0
Los_Angeles2015-12-26,2015-12-26,Los_Angeles,364,-0.10740174605188435,0.0
Los_Angeles2015-12-27,2015-12-27,Los_Angeles,465,-0.1515387036851572,0.0
Los_Angeles2015-12-28,2015-12-28,Los_Angeles,497,0.1920680826879,0.0
